contract_version,is_synthetic,source,ingested_at,mine_code,grade,period_start,period_end,tonnes,mine_type,period_grain,operating_hours
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214769,MOIL-BAL-01,silico_manganese,2023-10-12,2023-10-12,411.42,underground,daily,22.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214773,MOIL-BAL-01,blast_furnace,2023-10-12,2023-10-12,181.44,underground,daily,20.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214777,MOIL-BAL-01,dioxide,2023-10-12,2023-10-12,47.93,underground,daily,19.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214783,MOIL-BAL-01,ferro_manganese,2023-10-13,2023-10-13,264.01,underground,daily,21.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214787,MOIL-BAL-01,silico_manganese,2023-10-13,2023-10-13,379.04,underground,daily,21.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214791,MOIL-BAL-01,blast_furnace,2023-10-13,2023-10-13,171.8,underground,daily,18.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214796,MOIL-BAL-01,dioxide,2023-10-13,2023-10-13,42.06,underground,daily,21.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214802,MOIL-BAL-01,ferro_manganese,2023-10-14,2023-10-14,251.33,underground,daily,22.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214807,MOIL-BAL-01,silico_manganese,2023-10-14,2023-10-14,380.06,underground,daily,18.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214811,MOIL-BAL-01,blast_furnace,2023-10-14,2023-10-14,171.89,underground,daily,18.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214815,MOIL-BAL-01,dioxide,2023-10-14,2023-10-14,44.14,underground,daily,20.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214821,MOIL-BAL-01,ferro_manganese,2023-10-15,2023-10-15,220.63,underground,daily,17.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214825,MOIL-BAL-01,silico_manganese,2023-10-15,2023-10-15,323.91,underground,daily,18.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214830,MOIL-BAL-01,blast_furnace,2023-10-15,2023-10-15,145.73,underground,daily,19.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214834,MOIL-BAL-01,dioxide,2023-10-15,2023-10-15,34.74,underground,daily,15.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214840,MOIL-BAL-01,ferro_manganese,2023-10-16,2023-10-16,283.37,underground,daily,21.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214844,MOIL-BAL-01,silico_manganese,2023-10-16,2023-10-16,420.07,underground,daily,21.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214848,MOIL-BAL-01,blast_furnace,2023-10-16,2023-10-16,184.53,underground,daily,17.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214852,MOIL-BAL-01,dioxide,2023-10-16,2023-10-16,44.3,underground,daily,16.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214859,MOIL-BAL-01,ferro_manganese,2023-10-17,2023-10-17,290.13,underground,daily,20.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214863,MOIL-BAL-01,silico_manganese,2023-10-17,2023-10-17,409.51,underground,daily,18.7
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214867,MOIL-BAL-01,blast_furnace,2023-10-17,2023-10-17,188.91,underground,daily,21.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214871,MOIL-BAL-01,dioxide,2023-10-17,2023-10-17,44.79,underground,daily,21.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214877,MOIL-BAL-01,ferro_manganese,2023-10-18,2023-10-18,279.89,underground,daily,21.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214882,MOIL-BAL-01,silico_manganese,2023-10-18,2023-10-18,430.24,underground,daily,19.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214886,MOIL-BAL-01,blast_furnace,2023-10-18,2023-10-18,185.9,underground,daily,19.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214890,MOIL-BAL-01,dioxide,2023-10-18,2023-10-18,46.59,underground,daily,19.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214897,MOIL-BAL-01,ferro_manganese,2023-10-19,2023-10-19,227.1,underground,daily,16.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214901,MOIL-BAL-01,silico_manganese,2023-10-19,2023-10-19,334.81,underground,daily,18.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214908,MOIL-BAL-01,blast_furnace,2023-10-19,2023-10-19,156.54,underground,daily,19.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214912,MOIL-BAL-01,dioxide,2023-10-19,2023-10-19,36.36,underground,daily,18.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214918,MOIL-BAL-01,ferro_manganese,2023-10-20,2023-10-20,239.22,underground,daily,17.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214923,MOIL-BAL-01,silico_manganese,2023-10-20,2023-10-20,373.62,underground,daily,20.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214927,MOIL-BAL-01,blast_furnace,2023-10-20,2023-10-20,156.52,underground,daily,19.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214931,MOIL-BAL-01,dioxide,2023-10-20,2023-10-20,40.25,underground,daily,23.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214938,MOIL-BAL-01,ferro_manganese,2023-10-21,2023-10-21,272.18,underground,daily,23.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214942,MOIL-BAL-01,silico_manganese,2023-10-21,2023-10-21,399.66,underground,daily,18.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214946,MOIL-BAL-01,blast_furnace,2023-10-21,2023-10-21,177.92,underground,daily,22.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214950,MOIL-BAL-01,dioxide,2023-10-21,2023-10-21,42.72,underground,daily,18.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214956,MOIL-BAL-01,ferro_manganese,2023-10-22,2023-10-22,194.06,underground,daily,21.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214960,MOIL-BAL-01,silico_manganese,2023-10-22,2023-10-22,289.07,underground,daily,21.6
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214965,MOIL-BAL-01,blast_furnace,2023-10-22,2023-10-22,131.11,underground,daily,19.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214969,MOIL-BAL-01,dioxide,2023-10-22,2023-10-22,32.6,underground,daily,21.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214975,MOIL-BAL-01,ferro_manganese,2023-10-23,2023-10-23,282.22,underground,daily,20.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214980,MOIL-BAL-01,silico_manganese,2023-10-23,2023-10-23,402.3,underground,daily,17.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214984,MOIL-BAL-01,blast_furnace,2023-10-23,2023-10-23,183.62,underground,daily,17.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214988,MOIL-BAL-01,dioxide,2023-10-23,2023-10-23,46.43,underground,daily,24.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214994,MOIL-BAL-01,ferro_manganese,2023-10-24,2023-10-24,250.91,underground,daily,22.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.214998,MOIL-BAL-01,silico_manganese,2023-10-24,2023-10-24,402.69,underground,daily,20.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215002,MOIL-BAL-01,blast_furnace,2023-10-24,2023-10-24,175.67,underground,daily,18.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215006,MOIL-BAL-01,dioxide,2023-10-24,2023-10-24,44.33,underground,daily,24.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215013,MOIL-BAL-01,ferro_manganese,2023-10-25,2023-10-25,215.4,underground,daily,23.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215017,MOIL-BAL-01,silico_manganese,2023-10-25,2023-10-25,335.16,underground,daily,17.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215021,MOIL-BAL-01,blast_furnace,2023-10-25,2023-10-25,143.92,underground,daily,22.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215025,MOIL-BAL-01,dioxide,2023-10-25,2023-10-25,37.62,underground,daily,21.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215031,MOIL-BAL-01,ferro_manganese,2023-10-26,2023-10-26,273.34,underground,daily,19.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215064,MOIL-BAL-01,silico_manganese,2023-10-26,2023-10-26,419.91,underground,daily,16.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215069,MOIL-BAL-01,blast_furnace,2023-10-26,2023-10-26,177.11,underground,daily,18.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215073,MOIL-BAL-01,dioxide,2023-10-26,2023-10-26,46.26,underground,daily,22.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215080,MOIL-BAL-01,ferro_manganese,2023-10-27,2023-10-27,276.57,underground,daily,17.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215087,MOIL-BAL-01,silico_manganese,2023-10-27,2023-10-27,410.83,underground,daily,18.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215091,MOIL-BAL-01,blast_furnace,2023-10-27,2023-10-27,173.46,underground,daily,18.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215095,MOIL-BAL-01,dioxide,2023-10-27,2023-10-27,45.33,underground,daily,21.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215102,MOIL-BAL-01,ferro_manganese,2023-10-28,2023-10-28,229.84,underground,daily,18.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215106,MOIL-BAL-01,silico_manganese,2023-10-28,2023-10-28,365.59,underground,daily,18.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215111,MOIL-BAL-01,blast_furnace,2023-10-28,2023-10-28,155.95,underground,daily,20.5
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215115,MOIL-BAL-01,dioxide,2023-10-28,2023-10-28,39.82,underground,daily,20.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215121,MOIL-BAL-01,ferro_manganese,2023-10-29,2023-10-29,217.17,underground,daily,20.9
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215125,MOIL-BAL-01,silico_manganese,2023-10-29,2023-10-29,352.56,underground,daily,19.8
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215131,MOIL-BAL-01,blast_furnace,2023-10-29,2023-10-29,146.09,underground,daily,19.1
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215135,MOIL-BAL-01,dioxide,2023-10-29,2023-10-29,35.68,underground,daily,19.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215141,MOIL-BAL-01,ferro_manganese,2023-10-30,2023-10-30,248.88,underground,daily,23.0
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215145,MOIL-BAL-01,silico_manganese,2023-10-30,2023-10-30,369.74,underground,daily,17.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215150,MOIL-BAL-01,blast_furnace,2023-10-30,2023-10-30,157.83,underground,daily,21.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215154,MOIL-BAL-01,dioxide,2023-10-30,2023-10-30,40.49,underground,daily,22.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215160,MOIL-BAL-01,ferro_manganese,2023-10-31,2023-10-31,241.23,underground,daily,19.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215164,MOIL-BAL-01,silico_manganese,2023-10-31,2023-10-31,403.46,underground,daily,17.4
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215168,MOIL-BAL-01,blast_furnace,2023-10-31,2023-10-31,171.3,underground,daily,19.3
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215172,MOIL-BAL-01,dioxide,2023-10-31,2023-10-31,40.56,underground,daily,20.2
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.215179,MOIL-BAL-01,ferro_manganese,2023-11-01,2023-11-01,233.55,underground,daily,23.2
