contract_version,is_synthetic,source,ingested_at,borehole_id,from_depth_m,to_depth_m,mn_pct,fe_pct,sio2_pct,p_pct,al2o3_pct,recovery_pct,assay_method
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401792,MOIL-BAL-01-BH-002,28.59,29.09,0.14,4.38,44.15,0.167,,99.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401805,MOIL-BAL-01-BH-002,29.09,35.09,0.72,5.62,52.03,0.106,,82.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401818,MOIL-BAL-01-BH-002,35.09,41.09,0.81,7.16,42.69,0.078,,90.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401831,MOIL-BAL-01-BH-002,41.09,44.32,40.72,10.33,12.67,0.074,,99.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401845,MOIL-BAL-01-BH-002,44.32,50.32,0.27,2.79,49.91,0.122,,96.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401858,MOIL-BAL-01-BH-002,50.32,53.04,0.49,3.98,48.3,0.141,,92.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401870,MOIL-BAL-01-BH-002,53.04,56.52,3.59,0.1,41.27,0.12,,92.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401883,MOIL-BAL-01-BH-002,56.52,60.54,0.9,5.32,41.27,0.164,,94.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401896,MOIL-BAL-01-BH-002,60.54,61.97,2.05,3.33,48.86,0.159,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401909,MOIL-BAL-01-BH-002,61.97,67.97,2.13,2.62,45.79,0.123,,92.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401923,MOIL-BAL-01-BH-002,67.97,70.27,6.28,6.85,39.94,0.157,,91.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401936,MOIL-BAL-01-BH-002,70.27,75.6,1.26,1.9,50.82,0.118,,85.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401949,MOIL-BAL-01-BH-002,75.6,81.6,5.11,5.6,42.82,0.13,,96.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401962,MOIL-BAL-01-BH-002,81.6,84.23,1.13,4.22,43.08,0.07,,95.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401975,MOIL-BAL-01-BH-002,84.23,86.97,1.75,4.67,50.91,0.168,,96.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.401988,MOIL-BAL-01-BH-002,86.97,89.24,0.68,6.69,41.8,0.135,,94.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402001,MOIL-BAL-01-BH-002,89.24,90.07,1.99,7.39,47.41,0.086,,83.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402014,MOIL-BAL-01-BH-002,90.07,92.72,2.47,1.92,49.17,0.048,,87.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402027,MOIL-BAL-01-BH-002,92.72,98.72,1.42,6.35,40.8,0.043,,88.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402040,MOIL-BAL-01-BH-002,98.72,102.36,1.08,7.6,44.67,0.103,,87.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402053,MOIL-BAL-01-BH-002,102.36,104.98,3.99,6.6,51.89,0.15,,89.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402066,MOIL-BAL-01-BH-002,104.98,107.0,0.45,8.94,46.6,0.073,,97.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402079,MOIL-BAL-01-BH-002,107.0,109.78,3.53,4.83,32.14,0.102,,87.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402092,MOIL-BAL-01-BH-002,109.78,112.26,0.45,1.86,38.44,0.119,,90.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402105,MOIL-BAL-01-BH-002,112.26,114.02,0.91,7.06,46.21,0.013,,98.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402118,MOIL-BAL-01-BH-002,114.02,114.78,2.13,6.2,49.25,0.108,,88.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402131,MOIL-BAL-01-BH-002,114.78,115.84,0.8,4.95,41.19,0.18,,90.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402144,MOIL-BAL-01-BH-002,115.84,117.3,0.59,6.64,38.8,0.184,,94.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402157,MOIL-BAL-01-BH-002,117.3,119.42,0.81,10.53,46.54,0.143,,99.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402170,MOIL-BAL-01-BH-002,119.42,120.1,0.21,5.59,48.37,0.058,,85.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402183,MOIL-BAL-01-BH-002,120.1,121.53,2.42,5.27,48.78,0.192,,98.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402196,MOIL-BAL-01-BH-002,121.53,123.52,0.58,4.69,37.85,0.103,,86.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402209,MOIL-BAL-01-BH-002,123.52,124.61,2.24,4.0,44.71,0.089,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402222,MOIL-BAL-01-BH-002,124.61,127.18,2.42,5.01,46.88,0.137,,88.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402235,MOIL-BAL-01-BH-002,127.18,128.8,1.72,3.18,48.09,0.158,,96.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402249,MOIL-BAL-01-BH-002,128.8,132.69,6.1,1.63,43.05,0.164,,95.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402262,MOIL-BAL-01-BH-002,132.69,133.1,4.11,4.39,53.94,0.155,,84.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402278,MOIL-BAL-01-BH-003,0.0,1.32,3.41,6.34,48.04,0.114,,97.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402291,MOIL-BAL-01-BH-003,1.32,3.22,3.65,7.5,44.26,0.102,,96.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402303,MOIL-BAL-01-BH-003,3.22,5.82,0.13,6.46,42.23,0.167,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402316,MOIL-BAL-01-BH-003,5.82,8.07,0.19,3.91,50.9,0.182,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402329,MOIL-BAL-01-BH-003,8.07,10.12,0.13,7.4,51.32,0.144,,94.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402342,MOIL-BAL-01-BH-003,10.12,11.19,2.32,7.18,45.48,0.12,,89.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402355,MOIL-BAL-01-BH-003,11.19,14.04,1.42,1.17,52.61,0.092,,97.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402368,MOIL-BAL-01-BH-003,14.04,16.81,1.69,2.14,39.27,0.119,,91.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402381,MOIL-BAL-01-BH-003,16.81,22.81,3.86,4.16,48.1,0.171,,98.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402394,MOIL-BAL-01-BH-003,22.81,24.12,2.3,2.56,41.95,0.11,,94.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402407,MOIL-BAL-01-BH-003,24.12,25.86,0.84,2.19,32.33,0.101,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402420,MOIL-BAL-01-BH-003,25.86,31.86,0.48,3.07,45.04,0.097,,94.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402433,MOIL-BAL-01-BH-003,31.86,32.8,3.47,1.9,48.03,0.073,,93.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402446,MOIL-BAL-01-BH-003,32.8,38.8,6.41,9.1,53.9,0.186,,86.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402459,MOIL-BAL-01-BH-003,38.8,40.47,3.12,4.63,48.39,0.1,,89.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402472,MOIL-BAL-01-BH-003,40.47,43.93,0.98,1.78,49.59,0.116,,93.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402485,MOIL-BAL-01-BH-003,43.93,44.43,4.05,4.36,48.14,0.049,,82.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402498,MOIL-BAL-01-BH-003,44.43,50.43,1.98,5.04,38.86,0.101,,85.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402511,MOIL-BAL-01-BH-003,50.43,55.13,0.71,4.46,49.87,0.139,,92.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402524,MOIL-BAL-01-BH-003,55.13,59.49,3.04,2.48,48.36,0.162,,92.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402537,MOIL-BAL-01-BH-003,59.49,60.32,1.84,7.0,40.94,0.123,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402550,MOIL-BAL-01-BH-003,60.32,66.32,1.1,4.85,56.88,0.128,,96.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402563,MOIL-BAL-01-BH-003,66.32,68.21,4.62,4.34,54.63,0.128,,94.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402576,MOIL-BAL-01-BH-003,68.21,74.21,2.51,5.98,47.5,0.044,,85.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402589,MOIL-BAL-01-BH-003,74.21,75.25,33.98,9.15,8.78,0.123,,92.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402602,MOIL-BAL-01-BH-003,75.25,81.25,38.32,9.48,12.46,0.137,,99.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402614,MOIL-BAL-01-BH-003,81.25,82.14,3.7,8.17,30.29,0.072,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402627,MOIL-BAL-01-BH-003,82.14,87.48,6.55,3.37,37.3,0.197,,85.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402640,MOIL-BAL-01-BH-003,87.48,91.35,4.91,1.61,46.63,0.127,,92.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402653,MOIL-BAL-01-BH-003,91.35,97.35,5.18,2.56,40.06,0.02,,95.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402666,MOIL-BAL-01-BH-003,97.35,102.36,0.65,8.31,49.06,0.055,,97.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402679,MOIL-BAL-01-BH-003,102.36,103.9,10.69,5.81,39.08,0.14,,94.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402692,MOIL-BAL-01-BH-003,103.9,105.29,1.43,5.35,52.82,0.122,,90.4,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402705,MOIL-BAL-01-BH-003,105.29,111.29,0.18,6.75,41.09,0.138,,90.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402718,MOIL-BAL-01-BH-003,111.29,113.51,1.0,2.69,38.69,0.215,,96.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402731,MOIL-BAL-01-BH-003,113.51,115.42,0.61,8.82,51.11,0.122,,91.3,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402744,MOIL-BAL-01-BH-003,115.42,118.51,0.67,5.05,48.05,0.085,,88.5,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402757,MOIL-BAL-01-BH-003,118.51,121.6,0.55,3.54,42.61,0.18,,89.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402770,MOIL-BAL-01-BH-003,121.6,122.74,0.65,8.09,34.24,0.147,,85.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402783,MOIL-BAL-01-BH-003,122.74,128.74,3.07,6.02,39.12,0.147,,98.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402796,MOIL-BAL-01-BH-003,128.74,131.54,2.35,4.82,34.62,0.101,,94.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402809,MOIL-BAL-01-BH-003,131.54,134.68,2.43,2.46,42.97,0.117,,91.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402822,MOIL-BAL-01-BH-003,134.68,137.29,1.31,0.53,41.13,0.185,,96.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402835,MOIL-BAL-01-BH-003,137.29,137.9,2.47,4.94,51.47,0.153,,92.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402848,MOIL-BAL-01-BH-003,137.9,142.09,0.44,8.06,47.14,0.183,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402861,MOIL-BAL-01-BH-003,142.09,143.67,1.56,5.41,40.35,0.17,,88.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402874,MOIL-BAL-01-BH-003,143.67,149.67,0.59,4.91,28.05,0.119,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402887,MOIL-BAL-01-BH-003,149.67,150.18,0.57,7.06,50.09,0.17,,95.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402900,MOIL-BAL-01-BH-003,150.18,156.18,1.33,1.77,45.07,0.07,,97.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402913,MOIL-BAL-01-BH-003,156.18,162.18,3.74,1.31,36.62,0.176,,97.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402927,MOIL-BAL-01-BH-003,162.18,165.84,1.86,6.71,50.17,0.108,,98.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402942,MOIL-BAL-01-BH-003,165.84,171.84,3.46,7.31,46.21,0.064,,97.6,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402955,MOIL-BAL-01-BH-003,171.84,173.87,4.9,4.45,47.47,0.102,,94.1,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402968,MOIL-BAL-01-BH-003,173.87,179.87,1.39,4.23,36.46,0.11,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402981,MOIL-BAL-01-BH-003,179.87,184.09,1.54,6.48,53.87,0.192,,93.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.402994,MOIL-BAL-01-BH-003,184.09,184.8,2.79,3.33,42.65,0.066,,94.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403007,MOIL-BAL-01-BH-003,184.8,186.46,1.29,3.43,43.22,0.189,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403020,MOIL-BAL-01-BH-003,186.46,192.46,0.6,2.47,43.96,0.138,,91.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403033,MOIL-BAL-01-BH-003,192.46,197.14,0.85,2.01,29.4,0.166,,97.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403046,MOIL-BAL-01-BH-003,197.14,201.37,1.0,1.68,44.06,0.176,,89.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403059,MOIL-BAL-01-BH-003,201.37,205.54,1.14,4.83,49.22,0.082,,88.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403072,MOIL-BAL-01-BH-003,205.54,207.61,3.97,5.97,38.08,0.176,,94.8,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403085,MOIL-BAL-01-BH-003,207.61,212.79,0.73,6.38,41.64,0.111,,99.9,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403098,MOIL-BAL-01-BH-003,212.79,215.6,1.81,5.63,45.26,0.111,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403114,MOIL-BAL-01-BH-004,0.0,2.68,2.18,6.86,51.09,0.089,,100.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403127,MOIL-BAL-01-BH-004,2.68,7.35,2.8,7.94,44.42,0.102,,96.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403140,MOIL-BAL-01-BH-004,7.35,12.57,0.07,6.59,36.7,0.175,,84.7,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403153,MOIL-BAL-01-BH-004,12.57,18.11,4.29,5.47,57.69,0.142,,96.0,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403166,MOIL-BAL-01-BH-004,18.11,19.75,1.04,0.1,36.76,0.186,,99.2,XRF (synthetic)
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.403179,MOIL-BAL-01-BH-004,19.75,21.89,0.37,3.72,57.38,0.209,,91.4,XRF (synthetic)
