contract_version,is_synthetic,source,ingested_at,borehole_id,mine_code,latitude,longitude,easting_m,northing_m,collar_elevation_m,total_depth_m,azimuth_deg,dip_deg,drilled_on
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399970,MOIL-BHR-02-BH-006,MOIL-BHR-02,21.846024,80.292601,,,356.1,105.6,189.8,-87.7,2026-05-26
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399978,MOIL-BHR-02-BH-007,MOIL-BHR-02,21.878172,80.254255,,,328.2,164.3,298.4,-66.1,2025-02-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399987,MOIL-BHR-02-BH-008,MOIL-BHR-02,21.843095,80.259905,,,285.7,56.0,165.9,-58.1,2025-07-25
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.399995,MOIL-BHR-02-BH-009,MOIL-BHR-02,21.851145,80.282041,,,317.0,113.7,132.5,-59.0,2025-11-08
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400003,MOIL-BHR-02-BH-010,MOIL-BHR-02,21.843425,80.246247,,,322.3,227.9,326.2,-54.6,2025-10-01
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400012,MOIL-BHR-02-BH-011,MOIL-BHR-02,21.880812,80.27064,,,355.9,98.0,318.8,-88.9,2025-11-30
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400020,MOIL-BHR-02-BH-012,MOIL-BHR-02,21.862511,80.23784,,,298.5,162.5,354.7,-54.4,2026-04-27
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400029,MOIL-UKW-03-BH-001,MOIL-UKW-03,21.92354,80.525272,,,347.5,73.4,76.3,-57.1,2024-10-15
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400039,MOIL-UKW-03-BH-002,MOIL-UKW-03,21.925239,80.522066,,,274.2,164.6,208.2,-49.4,2023-12-26
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400048,MOIL-UKW-03-BH-003,MOIL-UKW-03,21.949885,80.518055,,,313.5,87.5,248.3,-87.7,2024-11-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400056,MOIL-UKW-03-BH-004,MOIL-UKW-03,21.906856,80.512552,,,322.3,151.1,168.5,-80.0,2024-07-17
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400064,MOIL-UKW-03-BH-005,MOIL-UKW-03,21.937569,80.523054,,,359.7,84.3,84.8,-63.9,2025-12-25
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400073,MOIL-UKW-03-BH-006,MOIL-UKW-03,21.952442,80.514741,,,278.0,159.5,266.8,-55.2,2024-03-17
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400081,MOIL-UKW-03-BH-007,MOIL-UKW-03,21.921601,80.498464,,,322.7,193.0,297.8,-72.7,2026-09-07
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400089,MOIL-UKW-03-BH-008,MOIL-UKW-03,21.926311,80.509362,,,254.0,125.1,81.5,-49.4,2024-08-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400097,MOIL-UKW-03-BH-009,MOIL-UKW-03,21.935846,80.516614,,,386.3,109.7,40.4,-75.2,2026-06-19
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400106,MOIL-UKW-03-BH-010,MOIL-UKW-03,21.92632,80.520158,,,241.3,158.0,320.2,-56.8,2026-07-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400114,MOIL-UKW-03-BH-011,MOIL-UKW-03,21.916721,80.494224,,,298.9,193.3,355.7,-65.5,2026-03-23
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400122,MOIL-UKW-03-BH-012,MOIL-UKW-03,21.934849,80.508419,,,328.0,157.3,283.1,-82.0,2026-05-03
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400131,MOIL-TIR-04-BH-001,MOIL-TIR-04,22.161063,79.708042,,,347.0,84.4,53.1,-66.2,2025-08-10
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400139,MOIL-TIR-04-BH-002,MOIL-TIR-04,22.152119,79.67049,,,373.6,203.1,176.9,-62.0,2026-08-26
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400147,MOIL-TIR-04-BH-003,MOIL-TIR-04,22.168221,79.676341,,,349.2,241.0,68.1,-53.1,2025-02-23
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400155,MOIL-TIR-04-BH-004,MOIL-TIR-04,22.179446,79.669493,,,300.4,116.8,64.3,-51.6,2024-03-19
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400163,MOIL-TIR-04-BH-005,MOIL-TIR-04,22.162061,79.671126,,,308.0,131.3,137.2,-89.1,2023-10-30
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400172,MOIL-TIR-04-BH-006,MOIL-TIR-04,22.166754,79.660846,,,259.4,193.1,274.1,-50.9,2024-03-06
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400180,MOIL-TIR-04-BH-007,MOIL-TIR-04,22.141667,79.69355,,,336.9,203.1,58.5,-51.2,2026-01-07
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400188,MOIL-TIR-04-BH-008,MOIL-TIR-04,22.153167,79.705066,,,326.8,309.6,25.4,-81.7,2025-05-30
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400196,MOIL-TIR-04-BH-009,MOIL-TIR-04,22.152044,79.694334,,,277.6,230.4,313.9,-72.7,2026-08-03
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400204,MOIL-TIR-04-BH-010,MOIL-TIR-04,22.157843,79.687462,,,303.8,151.2,173.5,-70.4,2025-12-28
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400213,MOIL-TIR-04-BH-011,MOIL-TIR-04,22.155226,79.702877,,,272.7,113.8,262.6,-87.8,2024-11-17
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400221,MOIL-TIR-04-BH-012,MOIL-TIR-04,22.160743,79.667807,,,295.1,207.0,271.3,-62.2,2025-07-11
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400229,MOIL-DON-05-BH-001,MOIL-DON-05,20.98813,79.30474,,,341.8,134.9,281.1,-76.7,2024-03-22
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400238,MOIL-DON-05-BH-002,MOIL-DON-05,20.959023,79.34763,,,323.9,114.1,30.8,-57.7,2024-07-20
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400246,MOIL-DON-05-BH-003,MOIL-DON-05,20.987988,79.329959,,,299.2,47.6,319.8,-87.6,2024-08-13
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400255,MOIL-DON-05-BH-004,MOIL-DON-05,20.997364,79.325348,,,272.1,185.8,177.5,-53.1,2023-09-24
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400263,MOIL-DON-05-BH-005,MOIL-DON-05,20.967229,79.305608,,,299.8,111.5,349.3,-49.3,2026-02-09
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400271,MOIL-DON-05-BH-006,MOIL-DON-05,20.995684,79.354386,,,295.7,70.8,277.6,-58.3,2026-07-29
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400279,MOIL-DON-05-BH-007,MOIL-DON-05,20.996592,79.345775,,,400.3,110.6,42.7,-68.8,2026-02-09
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400287,MOIL-DON-05-BH-008,MOIL-DON-05,20.990674,79.320862,,,344.1,200.9,178.9,-55.4,2024-08-07
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400295,MOIL-DON-05-BH-009,MOIL-DON-05,21.005814,79.326004,,,267.4,194.4,218.8,-80.6,2024-10-08
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400304,MOIL-DON-05-BH-010,MOIL-DON-05,20.979646,79.334013,,,324.4,67.9,125.6,-67.9,2024-01-19
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400312,MOIL-DON-05-BH-011,MOIL-DON-05,20.972142,79.34345,,,341.3,133.6,139.9,-47.9,2026-07-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400320,MOIL-DON-05-BH-012,MOIL-DON-05,20.988161,79.344927,,,327.8,216.9,21.9,-71.7,2023-12-17
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400328,MOIL-CHK-06-BH-001,MOIL-CHK-06,21.314137,79.643849,,,256.4,110.7,10.4,-50.8,2023-10-25
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400336,MOIL-CHK-06-BH-002,MOIL-CHK-06,21.287776,79.681511,,,288.5,160.5,27.9,-68.9,2026-06-12
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400344,MOIL-CHK-06-BH-003,MOIL-CHK-06,21.315992,79.681884,,,269.5,79.5,167.0,-82.2,2023-10-09
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400353,MOIL-CHK-06-BH-004,MOIL-CHK-06,21.281726,79.645487,,,328.8,103.8,128.2,-60.4,2024-08-10
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400361,MOIL-CHK-06-BH-005,MOIL-CHK-06,21.286384,79.638608,,,266.1,137.7,231.7,-52.3,2025-02-08
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400369,MOIL-CHK-06-BH-006,MOIL-CHK-06,21.283687,79.643456,,,274.2,176.8,90.5,-62.5,2026-06-30
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400378,MOIL-CHK-06-BH-007,MOIL-CHK-06,21.310599,79.668988,,,332.3,91.1,308.3,-76.7,2025-12-02
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400386,MOIL-CHK-06-BH-008,MOIL-CHK-06,21.295571,79.673141,,,293.6,279.2,209.5,-61.4,2024-02-02
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400394,MOIL-CHK-06-BH-009,MOIL-CHK-06,21.314809,79.676442,,,329.2,247.7,88.2,-59.7,2026-07-11
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400402,MOIL-CHK-06-BH-010,MOIL-CHK-06,21.292955,79.672907,,,307.3,172.5,113.1,-83.2,2024-05-28
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400410,MOIL-CHK-06-BH-011,MOIL-CHK-06,21.308294,79.634918,,,284.2,215.4,329.4,-56.1,2023-11-22
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400418,MOIL-CHK-06-BH-012,MOIL-CHK-06,21.284049,79.681035,,,279.5,134.5,271.1,-57.9,2025-10-13
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400427,MOIL-MAN-07-BH-001,MOIL-MAN-07,21.426291,79.267643,,,358.8,89.8,231.7,-66.0,2026-04-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400435,MOIL-MAN-07-BH-002,MOIL-MAN-07,21.444889,79.269353,,,337.3,176.1,182.1,-47.8,2024-01-24
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400443,MOIL-MAN-07-BH-003,MOIL-MAN-07,21.443766,79.251451,,,288.6,154.7,133.3,-60.9,2024-05-04
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400451,MOIL-MAN-07-BH-004,MOIL-MAN-07,21.43014,79.222996,,,313.7,213.4,3.4,-87.2,2025-10-22
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400460,MOIL-MAN-07-BH-005,MOIL-MAN-07,21.432033,79.261536,,,344.1,247.1,291.6,-79.0,2025-12-30
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400471,MOIL-MAN-07-BH-006,MOIL-MAN-07,21.449917,79.258126,,,358.8,213.7,300.0,-71.6,2024-06-13
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400480,MOIL-MAN-07-BH-007,MOIL-MAN-07,21.435331,79.269022,,,288.5,142.6,301.9,-67.7,2023-10-22
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400488,MOIL-MAN-07-BH-008,MOIL-MAN-07,21.436698,79.225925,,,356.9,209.4,127.9,-77.8,2025-06-03
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400497,MOIL-MAN-07-BH-009,MOIL-MAN-07,21.458516,79.253964,,,331.7,254.3,33.8,-45.2,2025-02-13
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400506,MOIL-MAN-07-BH-010,MOIL-MAN-07,21.454362,79.242115,,,328.0,128.6,241.8,-51.2,2024-08-07
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400514,MOIL-MAN-07-BH-011,MOIL-MAN-07,21.436674,79.240305,,,235.3,151.1,61.9,-64.5,2025-05-09
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400523,MOIL-MAN-07-BH-012,MOIL-MAN-07,21.429136,79.247043,,,223.1,225.7,65.3,-74.4,2026-03-28
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400531,MOIL-KAN-08-BH-001,MOIL-KAN-08,21.384317,79.321794,,,299.9,173.4,214.4,-51.0,2024-06-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400540,MOIL-KAN-08-BH-002,MOIL-KAN-08,21.361846,79.299941,,,311.3,134.2,217.2,-79.3,2025-08-08
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400550,MOIL-KAN-08-BH-003,MOIL-KAN-08,21.40861,79.338394,,,289.1,166.8,2.0,-68.8,2024-02-17
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400559,MOIL-KAN-08-BH-004,MOIL-KAN-08,21.36874,79.311703,,,303.1,261.7,108.7,-85.1,2023-10-07
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400567,MOIL-KAN-08-BH-005,MOIL-KAN-08,21.388873,79.345111,,,295.0,138.8,276.6,-63.0,2025-02-27
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400575,MOIL-KAN-08-BH-006,MOIL-KAN-08,21.364199,79.314616,,,351.1,283.6,63.7,-53.8,2025-04-24
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400584,MOIL-KAN-08-BH-007,MOIL-KAN-08,21.37938,79.328578,,,266.9,161.5,327.5,-84.1,2024-05-23
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400592,MOIL-KAN-08-BH-008,MOIL-KAN-08,21.391078,79.312094,,,403.3,138.9,240.4,-81.7,2024-02-02
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400601,MOIL-KAN-08-BH-009,MOIL-KAN-08,21.382016,79.333343,,,324.3,116.2,343.0,-69.4,2024-04-12
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400612,MOIL-KAN-08-BH-010,MOIL-KAN-08,21.375265,79.300656,,,353.0,135.5,31.8,-68.8,2024-10-16
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400620,MOIL-KAN-08-BH-011,MOIL-KAN-08,21.379526,79.297609,,,221.2,164.8,48.5,-80.7,2026-03-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400628,MOIL-KAN-08-BH-012,MOIL-KAN-08,21.38585,79.323606,,,295.9,157.6,125.6,-67.7,2026-02-23
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400636,MOIL-GUM-09-BH-001,MOIL-GUM-09,21.318862,79.039063,,,335.1,154.4,72.7,-70.2,2026-04-27
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400645,MOIL-GUM-09-BH-002,MOIL-GUM-09,21.30516,79.012062,,,317.7,136.3,172.2,-56.0,2023-11-01
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400653,MOIL-GUM-09-BH-003,MOIL-GUM-09,21.321861,79.030629,,,301.3,218.4,174.1,-70.7,2025-04-12
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400661,MOIL-GUM-09-BH-004,MOIL-GUM-09,21.3179,79.032997,,,320.5,128.3,349.2,-75.5,2025-09-11
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400669,MOIL-GUM-09-BH-005,MOIL-GUM-09,21.319901,79.00158,,,280.3,110.2,30.0,-69.2,2025-11-20
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400677,MOIL-GUM-09-BH-006,MOIL-GUM-09,21.318616,79.036372,,,289.6,138.6,346.3,-68.1,2025-09-26
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400686,MOIL-GUM-09-BH-007,MOIL-GUM-09,21.32141,79.005027,,,343.0,168.3,150.3,-54.4,2023-11-25
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400694,MOIL-GUM-09-BH-008,MOIL-GUM-09,21.321784,79.019377,,,353.3,190.2,207.3,-88.5,2024-06-24
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400702,MOIL-GUM-09-BH-009,MOIL-GUM-09,21.346634,79.020219,,,346.5,131.4,116.0,-66.1,2026-03-05
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400710,MOIL-GUM-09-BH-010,MOIL-GUM-09,21.351944,79.027257,,,311.8,143.9,69.0,-64.0,2023-11-16
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400718,MOIL-GUM-09-BH-011,MOIL-GUM-09,21.325791,79.017173,,,313.4,180.8,41.7,-53.9,2023-10-31
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400726,MOIL-GUM-09-BH-012,MOIL-GUM-09,21.31522,79.024018,,,319.6,107.4,209.9,-76.3,2025-08-03
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400735,MOIL-BEL-10-BH-001,MOIL-BEL-10,21.188339,79.190529,,,292.6,106.4,235.9,-62.7,2024-08-30
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400745,MOIL-BEL-10-BH-002,MOIL-BEL-10,21.174696,79.165857,,,297.8,90.7,30.2,-55.0,2026-01-25
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400753,MOIL-BEL-10-BH-003,MOIL-BEL-10,21.172211,79.159446,,,334.1,247.5,266.9,-45.2,2025-04-14
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400761,MOIL-BEL-10-BH-004,MOIL-BEL-10,21.152255,79.185997,,,323.6,205.1,93.9,-72.9,2026-07-11
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400769,MOIL-BEL-10-BH-005,MOIL-BEL-10,21.164941,79.195211,,,345.6,202.0,349.4,-74.2,2024-01-27
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400777,MOIL-BEL-10-BH-006,MOIL-BEL-10,21.17503,79.164819,,,319.3,90.5,304.8,-75.7,2024-09-06
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400786,MOIL-BEL-10-BH-007,MOIL-BEL-10,21.16373,79.187822,,,258.3,130.2,206.4,-53.8,2025-10-04
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400794,MOIL-BEL-10-BH-008,MOIL-BEL-10,21.162159,79.189003,,,304.4,147.4,211.1,-65.9,2025-04-29
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400802,MOIL-BEL-10-BH-009,MOIL-BEL-10,21.174949,79.18146,,,306.9,205.2,37.9,-51.9,2026-05-27
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400810,MOIL-BEL-10-BH-010,MOIL-BEL-10,21.185653,79.172778,,,310.8,286.6,297.0,-76.7,2025-01-26
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400818,MOIL-BEL-10-BH-011,MOIL-BEL-10,21.158603,79.188408,,,364.8,185.2,275.7,-73.9,2024-05-24
1.0.0,True,nakshatra-synthetic-v1,2026-09-25T11:28:20.400826,MOIL-BEL-10-BH-012,MOIL-BEL-10,21.171231,79.17767,,,368.8,221.8,189.6,-66.6,2024-11-26
